637050	ENTEBBE				
5					
ENTEBBE	BEA	0.05	32.45	3761F	
ENTEBBE	GHCNv3G	0.05	32.45	1155M	
ENTEBBE	ColArchive	0.05	32.45	1155M	
ENTEBBE	GSOD	0.05	32.45	1155M	
ENTEBBE	NCARds512	0.05	32.755	1155M	
					
Tmax					
1907.96	26.28	26.30	26.30	-999.00	-999.00
1908.04	27.39	27.30	27.30	-999.00	-999.00
1908.12	26.17	26.20	26.20	-999.00	-999.00
1908.21	27.89	27.90	27.90	-999.00	-999.00
1908.29	25.50	25.50	25.50	-999.00	-999.00
1908.37	23.78	23.80	23.80	-999.00	-999.00
1908.46	23.67	23.70	23.70	-999.00	-999.00
1908.54	23.50	23.50	23.50	-999.00	-999.00
1908.62	23.83	23.80	23.80	-999.00	-999.00
1908.71	26.06	26.10	26.10	-999.00	-999.00
1908.79	26.06	26.10	26.10	-999.00	-999.00
1908.87	26.00	26.00	26.00	-999.00	-999.00
1908.96	25.61	25.60	25.60	-999.00	-999.00
1909.04	26.78	26.80	26.80	-999.00	-999.00
1909.12	28.06	28.10	28.10	-999.00	-999.00
1909.21	26.67	26.70	26.70	-999.00	-999.00
1909.29	24.50	24.50	24.50	-999.00	-999.00
1909.37	24.83	24.80	24.80	-999.00	-999.00
1909.46	24.89	24.90	24.90	-999.00	-999.00
1909.54	25.28	25.30	25.30	-999.00	-999.00
1909.62	24.56	24.60	24.60	-999.00	-999.00
1909.71	24.83	24.80	24.80	-999.00	-999.00
1909.79	26.00	26.00	26.00	-999.00	-999.00
1909.87	25.83	25.80	25.80	-999.00	-999.00
1909.96	25.78	25.80	25.80	-999.00	-999.00
1910.04	26.61	26.90	26.90	-999.00	-999.00
1910.12	26.56	26.90	26.90	-999.00	-999.00
1910.21	25.78	26.20	26.20	-999.00	-999.00
1910.29	25.00	25.20	25.20	-999.00	-999.00
1910.37	24.28	24.70	24.70	-999.00	-999.00
1910.46	24.78	25.20	25.20	-999.00	-999.00
1910.54	24.61	24.90	24.90	-999.00	-999.00
1910.62	24.89	25.00	25.00	-999.00	-999.00
1910.71	25.44	25.70	25.70	-999.00	-999.00
1910.79	26.61	27.10	27.10	-999.00	-999.00
1910.87	26.22	26.30	26.30	-999.00	-999.00
1910.96	26.33	26.30	26.30	-999.00	-999.00
1911.04	26.83	26.80	26.80	-999.00	-999.00
1911.12	27.50	27.50	27.50	-999.00	-999.00
1911.21	26.11	26.10	26.10	-999.00	-999.00
1911.29	24.50	24.50	24.50	-999.00	-999.00
1911.37	24.89	24.90	24.90	-999.00	-999.00
1911.46	25.22	25.20	25.20	-999.00	-999.00
1911.54	25.00	25.00	25.00	-999.00	-999.00
1911.62	24.39	24.40	24.40	-999.00	-999.00
1911.71	25.78	25.80	25.80	-999.00	-999.00
1911.79	27.28	27.30	27.30	-999.00	-999.00
1911.87	25.50	25.50	25.50	-999.00	-999.00
1911.96	27.83	27.80	27.80	-999.00	-999.00
1912.04	27.61	27.60	27.60	-999.00	-999.00
1912.12	26.44	26.40	26.40	-999.00	-999.00
1912.21	26.11	26.10	26.10	-999.00	-999.00
1912.29	25.67	25.70	25.70	-999.00	-999.00
1912.37	26.06	26.10	26.10	-999.00	-999.00
1912.46	25.22	25.20	25.20	-999.00	-999.00
1912.54	25.22	25.20	25.20	-999.00	-999.00
1912.62	25.17	25.20	25.20	-999.00	-999.00
1912.71	26.39	26.40	26.40	-999.00	-999.00
1912.79	27.22	27.20	27.20	-999.00	-999.00
1912.87	26.56	26.60	26.60	-999.00	-999.00
1912.96	26.22	26.20	26.20	-999.00	-999.00
1913.04	26.72	26.70	26.70	-999.00	-999.00
1913.12	26.72	26.70	26.70	-999.00	-999.00
1913.21	26.11	26.10	26.10	-999.00	-999.00
1913.29	25.61	25.60	25.60	-999.00	-999.00
1913.37	25.78	25.80	25.80	-999.00	-999.00
1913.46	25.00	25.50	25.50	-999.00	-999.00
1913.54	25.61	25.60	25.60	-999.00	-999.00
1913.62	25.50	25.50	25.50	-999.00	-999.00
1913.71	26.89	26.90	26.90	-999.00	-999.00
1913.79	27.67	27.70	27.70	-999.00	-999.00
1913.87	27.78	27.80	27.80	-999.00	-999.00
1913.96	28.28	28.30	28.30	-999.00	-999.00
1914.04	25.56	25.60	25.60	-999.00	-999.00
1914.12	27.28	27.30	27.30	-999.00	-999.00
1914.21	25.83	25.80	25.80	-999.00	-999.00
1914.29	26.39	26.40	26.40	-999.00	-999.00
1914.37	25.17	25.20	25.20	-999.00	-999.00
1914.46	25.33	25.30	25.30	-999.00	-999.00
1914.54	24.89	24.90	24.90	-999.00	-999.00
1914.62	25.33	25.30	25.30	-999.00	-999.00
1914.71	26.11	26.10	26.10	-999.00	-999.00
1914.79	26.50	26.50	26.50	-999.00	-999.00
1914.87	26.06	26.10	26.10	-999.00	-999.00
1914.96	25.56	26.10	26.10	-999.00	-999.00
1915.04	26.94	26.90	26.90	-999.00	-999.00
1915.12	27.50	27.50	27.50	-999.00	-999.00
1915.21	26.67	26.70	26.70	-999.00	-999.00
1915.29	26.44	26.40	26.40	-999.00	-999.00
1915.37	25.83	25.80	25.80	-999.00	-999.00
1915.46	25.61	25.60	25.60	-999.00	-999.00
1915.54	26.06	26.10	26.10	-999.00	-999.00
1915.62	26.00	26.00	26.00	-999.00	-999.00
1915.71	26.50	26.50	26.50	-999.00	-999.00
1915.79	26.61	26.60	26.60	-999.00	-999.00
1915.87	26.50	26.50	26.50	-999.00	-999.00
1915.96	26.28	26.30	26.30	-999.00	-999.00
1916.04	26.50	26.50	26.50	-999.00	-999.00
1916.12	26.50	26.50	26.50	-999.00	-999.00
1916.21	26.44	26.40	26.40	-999.00	-999.00
1916.29	26.11	26.10	26.10	-999.00	-999.00
1916.37	26.00	26.00	26.00	-999.00	-999.00
1916.46	25.78	25.80	25.80	-999.00	-999.00
1916.54	25.61	25.60	25.60	-999.00	-999.00
1916.62	25.28	25.30	25.30	-999.00	-999.00
1916.71	25.56	25.60	25.60	-999.00	-999.00
1916.79	26.11	26.10	26.10	-999.00	-999.00
1916.87	26.17	26.20	26.20	-999.00	-999.00
1916.96	26.22	26.20	26.20	-999.00	-999.00
1917.04	26.50	26.50	26.50	-999.00	-999.00
1917.12	25.56	25.60	25.60	-999.00	-999.00
1917.21	26.78	26.80	26.80	-999.00	-999.00
1917.29	25.83	25.80	25.80	-999.00	-999.00
1917.37	25.78	25.80	25.80	-999.00	-999.00
