Supplementary Table 2. Genes more potently regulated by IL-15,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
gene_name,symbol,RPKM,,,,,,,,,Fold Change,,,,,,,
,,,4 hour,,,,24 hour,,,,4 hour,,,,24 hour,,,
,,Cont,IL2_1nM,IL2_500nM,IL15_1nM,IL15_500nM,IL2_1nM,IL2_500nM,IL15_1nM,IL15_500nM,IL2_1nM,IL2_500nM,IL15_1nM,IL15_500nM,IL2_1nM,IL2_500nM,IL15_1nM,IL15_500nM
NM_026054,2810474O19Rik,13.68,15.88,19.91,32.59,25.36,9.75,9.04,10.93,10.58,1.16,1.46,2.38,1.85,0.71,0.66,0.80,0.77
NM_013524,Fut7,2.43,1.33,2.03,1.78,0.57,2.42,9.98,1.19,7.76,0.55,0.84,0.73,0.23,1.00,4.11,0.49,3.19
NM_011710,Wars,15.58,19.12,85.05,23.64,129.19,61.98,84.76,13.20,85.88,1.23,5.46,1.52,8.29,3.98,5.44,0.85,5.51
NM_133836,Il15ra,10.35,3.06,21.44,7.09,23.00,15.42,20.84,5.93,23.16,0.30,2.07,0.68,2.22,1.49,2.01,0.57,2.24
NM_001127351,Sirt3,4.46,6.19,5.30,7.76,6.82,6.25,6.97,14.76,8.30,1.39,1.19,1.74,1.53,1.40,1.56,3.31,1.86
NM_009396,Tnfaip2,3.74,15.75,19.36,15.94,13.46,7.68,3.97,7.62,1.85,4.21,5.17,4.26,3.60,2.05,1.06,2.04,0.50
NM_133859,Olfml3,7.09,8.16,11.62,19.65,7.31,5.10,3.77,7.06,3.75,1.15,1.64,2.77,1.03,0.72,0.53,1.00,0.53
NM_023044,Slc15a3,7.05,16.02,13.99,14.67,14.59,12.51,5.59,10.58,2.48,2.27,1.98,2.08,2.07,1.77,0.79,1.50,0.35
NM_010766,Marco,6.26,2.35,1.81,2.60,1.76,84.12,9.07,84.38,3.22,0.37,0.29,0.42,0.28,13.43,1.45,13.47,0.51
NM_011623,Top2a,2.04,1.79,1.73,1.69,1.71,4.44,23.66,1.66,22.29,0.88,0.85,0.83,0.84,2.18,11.60,0.82,10.93
NM_027290,Mcm10,1.94,1.16,0.88,0.87,1.59,3.45,16.64,0.95,15.90,0.60,0.45,0.45,0.82,1.78,8.59,0.49,8.20
NM_023136,Dtymk,6.18,7.45,7.48,6.79,6.77,17.97,44.21,5.26,43.60,1.21,1.21,1.10,1.10,2.91,7.16,0.85,7.06
NM_026055,Rpl39,100.16,153.20,124.49,134.99,160.17,73.93,50.23,82.18,133.08,1.53,1.24,1.35,1.60,0.74,0.50,0.82,1.33
NM_011568,Thoc4,4.58,2.92,7.07,5.95,4.78,6.73,16.72,4.46,13.11,0.64,1.54,1.30,1.04,1.47,3.65,0.97,2.86
NM_001145198,1500009L16Rik,2.03,2.70,1.59,3.76,3.61,4.14,8.51,1.15,6.04,1.33,0.78,1.85,1.78,2.04,4.19,0.56,2.97
NM_027360,2010107E04Rik,30.45,34.50,41.37,46.90,40.04,18.65,29.28,14.67,65.24,1.13,1.36,1.54,1.32,0.61,0.96,0.48,2.14
NM_001033302,Gm129,1.08,1.41,7.16,3.40,4.27,1.15,2.16,1.41,3.34,1.31,6.64,3.16,3.96,1.06,2.01,1.31,3.10
NM_001109748,Tomm40,68.92,34.70,29.15,16.27,24.19,39.41,194.01,36.01,147.84,0.50,0.42,0.24,0.35,0.57,2.82,0.52,2.15
NM_144539,Slamf7,2.84,1.25,7.87,1.96,8.47,2.31,6.18,1.12,5.58,0.44,2.77,0.69,2.98,0.82,2.18,0.40,1.97
NM_011496,Aurkb,7.66,6.22,6.65,3.79,6.88,15.86,85.10,6.15,91.83,0.81,0.87,0.49,0.90,2.07,11.10,0.80,11.98
NM_026720,Ankrd13d,4.05,4.72,1.12,5.49,0.73,3.93,1.69,9.39,2.42,1.16,0.28,1.36,0.18,0.97,0.42,2.32,0.60
NM_026721,Slc39a13,13.23,11.32,6.01,13.32,6.21,7.38,5.65,16.20,4.78,0.86,0.45,1.01,0.47,0.56,0.43,1.22,0.36
NM_058214,Recql4,1.24,1.18,0.83,0.59,1.25,1.35,6.52,1.26,7.16,0.96,0.67,0.47,1.01,1.09,5.28,1.02,5.80
NM_009099,Trim30,10.82,21.59,44.63,13.67,108.29,10.82,33.29,15.65,32.24,1.99,4.12,1.26,10.01,1.00,3.08,1.45,2.98
NM_009093,Rps29,588.75,396.79,326.62,818.25,631.37,500.09,107.17,562.65,314.58,0.67,0.55,1.39,1.07,0.85,0.18,0.96,0.53
NM_001037493,Slc41a3,5.71,3.22,2.76,3.10,1.17,2.93,1.58,3.10,2.37,0.56,0.48,0.54,0.21,0.51,0.28,0.54,0.42
NM_026436,Tmem86a,56.69,12.34,4.72,10.67,2.13,18.68,2.07,24.61,2.17,0.22,0.08,0.19,0.04,0.33,0.04,0.43,0.04
NM_026438,Ppa1,51.14,36.14,504.16,51.47,715.56,69.55,375.30,19.90,312.78,0.71,9.86,1.01,13.99,1.36,7.34,0.39,6.12
NM_001033168,1700066B19Rik,0.86,0.86,3.73,0.80,3.39,1.64,5.97,0.80,4.89,0.99,4.31,0.92,3.92,1.90,6.91,0.92,5.66
NM_013897,Timm8b,5.95,3.75,9.57,9.42,8.32,11.98,19.46,10.16,14.23,0.63,1.61,1.58,1.40,2.01,3.27,1.71,2.39
NM_022888,Folr4,10.44,8.94,21.74,9.15,21.65,13.01,19.12,6.33,16.20,0.86,2.08,0.88,2.07,1.25,1.83,0.61,1.55
NM_177684,Zfp637,21.47,21.77,25.19,53.76,16.46,38.49,23.77,33.45,28.10,1.01,1.17,2.50,0.77,1.79,1.11,1.56,1.31
NM_001135567,1190007I07Rik,21.32,12.17,18.56,14.30,8.11,22.07,38.65,20.91,37.11,0.57,0.87,0.67,0.38,1.04,1.81,0.98,1.74
NM_001163773,Gm10222,93.41,207.53,115.71,76.90,281.68,66.11,104.97,32.67,91.50,2.22,1.24,0.82,3.02,0.71,1.12,0.35,0.98
NM_145227,Oas2,2.77,3.03,29.80,3.93,80.20,3.79,9.73,4.25,15.03,1.09,10.74,1.42,28.92,1.37,3.51,1.53,5.42
NM_011965,Psma1,16.59,20.39,22.76,25.68,28.32,27.79,65.35,13.76,70.76,1.23,1.37,1.55,1.71,1.67,3.94,0.83,4.26
NM_017466,Ccrl2,1.68,3.73,20.26,2.64,46.77,2.12,5.05,1.39,9.51,2.21,12.03,1.57,27.77,1.26,3.00,0.83,5.65
NM_001164362,Cep55,1.25,1.76,0.89,1.92,1.44,2.67,9.66,0.97,9.77,1.41,0.71,1.54,1.15,2.14,7.74,0.78,7.82
NM_133905,Papd4,18.51,13.62,10.94,6.78,10.61,8.10,13.85,10.23,11.56,0.74,0.59,0.37,0.57,0.44,0.75,0.55,0.62
NM_139144,Ogt,5.48,11.60,6.63,8.82,8.19,4.55,5.38,9.92,5.53,2.12,1.21,1.61,1.50,0.83,0.98,1.81,1.01
NM_011819,Gdf15,1.66,41.74,41.78,44.24,19.46,23.25,1.01,49.74,0.70,25.07,25.10,26.58,11.69,13.96,0.61,29.88,0.42
NM_025674,Tcf19,26.05,18.33,16.41,15.90,13.79,39.93,184.56,18.17,181.63,0.70,0.63,0.61,0.53,1.53,7.08,0.70,6.97
NM_001081024,Setdb2,0.95,0.89,2.59,1.26,8.39,1.18,1.78,1.29,1.38,0.93,2.72,1.32,8.82,1.24,1.87,1.36,1.45
NM_001085500,Cisd3,15.59,2.84,11.70,3.48,4.53,5.68,10.16,8.54,13.00,0.18,0.75,0.22,0.29,0.36,0.65,0.55,0.83
NM_019949,Ube2l6,1.61,0.81,2.78,0.97,8.54,2.66,6.21,1.49,6.62,0.50,1.73,0.61,5.32,1.66,3.87,0.93,4.12
NM_001114637,Jmjd7,7.37,7.08,7.88,15.81,7.49,10.35,9.57,6.25,10.54,0.96,1.07,2.14,1.02,1.40,1.30,0.85,1.43
NM_172422,Fastkd2,2.87,5.18,4.60,2.28,3.73,3.53,9.51,3.90,7.95,1.80,1.60,0.79,1.30,1.23,3.31,1.36,2.77
NM_009895,Cish,15.75,58.54,622.10,102.88,456.19,60.66,422.65,14.52,384.11,3.72,39.50,6.53,28.96,3.85,26.83,0.92,24.39
NM_001159301,Lgals9,76.72,66.94,217.75,69.34,474.92,84.26,98.54,93.99,116.74,0.87,2.84,0.90,6.19,1.10,1.28,1.23,1.52
NM_009873,Cdk6,1.71,2.44,9.89,3.25,8.06,2.66,16.67,0.93,10.79,1.43,5.80,1.90,4.72,1.56,9.77,0.55,6.32
NM_009875,Cdkn1b,8.86,4.07,2.24,3.46,1.58,3.89,1.46,1.80,0.81,0.46,0.25,0.39,0.18,0.44,0.17,0.20,0.09
NM_175026,Pyhin1,4.72,21.17,35.68,13.27,109.12,10.61,17.47,11.74,21.01,4.48,7.55,2.81,23.10,2.25,3.70,2.48,4.45
NM_001098425,Sp3,6.09,5.65,4.50,2.18,3.76,4.66,5.09,5.82,4.92,0.93,0.74,0.36,0.62,0.77,0.84,0.96,0.81
NM_027351,Ppil3,5.78,6.70,4.00,5.76,8.13,11.95,10.83,7.29,10.75,1.16,0.69,1.00,1.41,2.07,1.87,1.26,1.86
NM_019766,Ptges3,41.54,22.77,28.19,47.68,44.94,38.11,59.63,16.11,60.94,0.55,0.68,1.15,1.08,0.92,1.44,0.39,1.47
NM_009270,Sqle,4.44,7.60,14.39,8.34,14.13,8.41,26.13,3.41,22.13,1.71,3.24,1.88,3.18,1.90,5.89,0.77,4.99
NM_019542,Nagk,3.73,5.19,6.53,7.39,3.02,5.58,5.84,6.34,5.47,1.39,1.75,1.98,0.81,1.50,1.56,1.70,1.47
NM_025844,Chordc1,6.81,7.23,10.68,3.55,13.21,5.89,11.94,4.48,10.40,1.06,1.57,0.52,1.94,0.86,1.75,0.66,1.53
NM_022433,Sirt3,4.34,5.83,5.17,7.52,6.62,6.02,6.68,14.27,8.03,1.34,1.19,1.73,1.53,1.39,1.54,3.29,1.85
NM_001037713,Xaf1,2.89,4.36,17.98,6.53,40.31,9.90,10.29,4.14,13.32,1.51,6.23,2.26,13.96,3.43,3.56,1.44,4.61
NM_019494,Cxcl11,0.52,0.85,6.50,2.58,7.31,0.85,1.67,0.50,1.86,1.65,12.57,4.99,14.14,1.65,3.23,0.97,3.60
NM_010287,Gpr83,4.41,2.17,17.83,3.17,17.46,2.88,3.51,1.01,3.29,0.49,4.04,0.72,3.96,0.65,0.79,0.23,0.75
NM_010156,Samd9l,1.35,2.55,4.83,1.87,13.90,1.76,3.38,1.14,4.02,1.89,3.58,1.39,10.32,1.30,2.51,0.84,2.98
NM_013606,Mx2,1.12,4.37,24.64,2.75,62.67,1.28,1.91,1.48,3.12,3.90,21.95,2.45,55.83,1.14,1.70,1.32,2.78
NM_001101597,Gm7244,4.92,2.80,6.34,7.19,7.21,6.04,16.12,2.49,17.25,0.57,1.29,1.46,1.47,1.23,3.28,0.51,3.51
NM_015733,Casp9,8.08,10.92,3.09,5.34,3.13,6.82,4.71,8.19,4.82,1.35,0.38,0.66,0.39,0.84,0.58,1.01,0.60
NM_001111080,Uhrf1,5.72,2.76,3.58,2.81,4.23,10.44,56.91,2.19,51.99,0.48,0.63,0.49,0.74,1.82,9.95,0.38,9.09
NM_026405,Rab32,19.80,15.77,16.73,12.52,8.15,22.47,10.02,26.91,10.18,0.80,0.84,0.63,0.41,1.13,0.51,1.36,0.51
NM_019388,Cd86,3.53,6.27,8.55,4.99,19.46,3.15,5.81,2.20,4.79,1.78,2.43,1.41,5.52,0.89,1.65,0.62,1.36
NM_173363,Eif5,89.68,91.14,70.23,35.99,57.62,61.25,103.38,61.35,87.44,1.02,0.78,0.40,0.64,0.68,1.15,0.68,0.97
NM_026393,Nmral1,6.52,1.19,2.16,3.16,6.29,6.02,14.58,2.82,14.45,0.18,0.33,0.48,0.97,0.92,2.24,0.43,2.22
NM_001113562,Cutc,6.89,7.71,10.68,17.57,12.36,8.25,5.36,9.46,5.98,1.12,1.55,2.55,1.80,1.20,0.78,1.37,0.87
NM_001141977,Tpx2,2.09,2.97,3.06,0.94,4.39,5.06,20.89,1.78,22.24,1.42,1.46,0.45,2.10,2.42,9.98,0.85,10.62
NM_001141976,Tpx2,2.17,3.06,3.18,0.95,4.55,5.27,21.67,1.84,23.03,1.41,1.47,0.44,2.10,2.43,10.01,0.85,10.63
NM_001141975,Tpx2,2.17,3.07,3.19,0.96,4.57,5.28,21.75,1.84,23.12,1.41,1.47,0.44,2.10,2.43,10.02,0.85,10.64
NM_001141978,Tpx2,2.17,3.06,3.19,0.96,4.56,5.28,21.74,1.84,23.10,1.41,1.47,0.44,2.10,2.43,10.01,0.85,10.64
NM_153570,Noc4l,25.18,29.45,66.14,29.91,60.58,37.31,90.97,17.97,86.94,1.17,2.63,1.19,2.41,1.48,3.61,0.71,3.45
NM_001164563,Amigo2,7.23,5.45,3.86,4.87,8.08,3.37,2.35,3.09,2.41,0.75,0.53,0.67,1.12,0.47,0.33,0.43,0.33
NM_001134391,Apobec1,3.76,6.25,5.70,4.11,11.48,6.83,1.58,9.08,1.82,1.66,1.52,1.09,3.06,1.82,0.42,2.42,0.48
NM_001161516,Dctd,7.95,2.01,4.09,3.54,2.32,6.41,18.64,2.57,20.87,0.25,0.51,0.44,0.29,0.81,2.34,0.32,2.62
NM_001161515,Dctd,7.18,1.85,3.79,3.28,2.15,5.81,17.11,2.35,18.84,0.26,0.53,0.46,0.30,0.81,2.38,0.33,2.62
NM_020010,Cyp51,11.50,10.77,19.67,8.02,12.62,9.62,33.25,4.74,27.55,0.94,1.71,0.70,1.10,0.84,2.89,0.41,2.40
NM_172301,Ccnb1,1.73,1.33,1.00,0.88,1.43,4.26,11.46,1.40,12.29,0.77,0.58,0.51,0.82,2.46,6.63,0.81,7.10
NM_028820,1700017B05Rik,14.65,7.65,8.30,10.27,3.77,9.58,16.05,10.85,15.42,0.52,0.57,0.70,0.26,0.65,1.10,0.74,1.05
NM_021384,Rsad2,4.25,25.76,134.01,24.61,320.13,6.88,8.61,6.31,13.49,6.06,31.50,5.79,75.26,1.62,2.02,1.48,3.17
NM_001146275,Iigp1,0.60,1.02,14.69,0.98,34.16,3.92,13.22,0.81,11.95,1.69,24.35,1.62,56.62,6.50,21.91,1.34,19.81
NM_020491,Sssca1,11.32,12.59,9.82,14.89,15.20,24.40,31.99,10.93,34.50,1.11,0.87,1.32,1.34,2.15,2.83,0.97,3.05
NM_011823,Gpr34,1.36,1.32,2.74,2.30,5.55,1.20,1.51,1.02,1.96,0.97,2.01,1.69,4.07,0.88,1.11,0.75,1.44
NM_008332,Ifit2,1.78,4.13,8.48,2.57,20.72,2.45,3.31,2.92,3.28,2.32,4.77,1.45,11.65,1.38,1.86,1.64,1.84
NM_008337,Ifng,1.19,1.81,64.24,1.07,226.79,6.59,180.23,1.61,37.42,1.52,53.98,0.90,190.58,5.54,151.45,1.35,31.44
NM_001159290,Bcl11a,6.76,5.05,3.54,4.77,2.94,4.94,2.52,4.60,1.22,0.75,0.52,0.71,0.44,0.73,0.37,0.68,0.18
NM_026510,Ftsj2,4.76,5.89,2.55,8.42,5.23,11.79,8.63,9.14,7.42,1.24,0.53,1.77,1.10,2.48,1.81,1.92,1.56
NM_008595,Mfng,176.70,118.50,65.03,135.85,31.53,147.25,120.29,189.97,115.12,0.67,0.37,0.77,0.18,0.83,0.68,1.08,0.65
NM_009266,Sephs2,16.02,6.35,8.26,11.27,8.72,17.48,31.47,8.07,33.17,0.40,0.52,0.70,0.54,1.09,1.96,0.50,2.07
NM_010019,Dapk2,2.11,3.17,1.77,1.13,1.00,2.80,4.86,2.85,6.69,1.50,0.84,0.54,0.48,1.32,2.31,1.35,3.17
NM_001163734,Rrp1b,4.63,2.00,5.99,4.12,5.50,5.28,16.20,2.20,14.06,0.43,1.29,0.89,1.19,1.14,3.50,0.48,3.04
NM_019537,Psmg1,9.33,7.79,10.79,10.36,14.83,17.36,33.50,8.00,27.82,0.83,1.16,1.11,1.59,1.86,3.59,0.86,2.98
NM_177473,Tmem191c,1.28,3.05,1.64,3.75,2.73,5.84,0.81,5.69,1.74,2.37,1.28,2.93,2.13,4.55,0.63,4.43,1.36
NR_027759,Dctd,5.90,1.62,3.08,2.86,1.79,4.88,14.22,2.10,15.97,0.27,0.52,0.49,0.30,0.83,2.41,0.36,2.71
NM_178788,Dctd,7.11,1.84,3.76,3.25,2.13,5.75,16.93,2.33,18.64,0.26,0.53,0.46,0.30,0.81,2.38,0.33,2.62
NM_029803,Ifi27l2a,44.60,68.67,81.82,52.10,189.96,151.38,110.90,95.70,171.34,1.54,1.83,1.17,4.26,3.39,2.49,2.15,3.84
NM_001163359,Fignl1,1.27,2.11,1.87,0.65,2.10,4.05,23.79,1.21,19.03,1.66,1.48,0.51,1.66,3.19,18.76,0.95,15.01
NM_013614,Odc1,3.64,15.93,15.68,17.05,18.54,6.68,20.90,3.26,20.94,4.37,4.31,4.68,5.09,1.83,5.74,0.89,5.75
NM_199015,D14Ertd668e,5.12,5.83,19.77,8.34,40.42,7.44,9.51,5.56,12.70,1.14,3.86,1.63,7.90,1.45,1.86,1.09,2.48
NM_029942,Prelid2,0.65,2.71,9.14,6.48,9.05,5.47,12.89,2.86,12.71,4.18,14.09,9.99,13.95,8.43,19.87,4.41,19.59
NM_001018042,Sp3,6.11,5.94,4.56,2.37,3.88,4.80,5.13,5.90,4.98,0.97,0.75,0.39,0.64,0.79,0.84,0.97,0.81
NM_001113529,Csf1,0.92,1.72,9.25,1.48,13.52,1.29,0.75,1.01,1.81,1.87,10.10,1.62,14.75,1.41,0.82,1.10,1.97
NM_001113527,Isg20,19.08,19.85,152.57,19.56,434.96,23.11,75.57,18.39,82.18,1.04,8.00,1.03,22.80,1.21,3.96,0.96,4.31
NM_010235,Fosl1,0.89,4.07,6.22,4.50,3.24,3.26,6.65,0.78,4.70,4.56,6.96,5.03,3.63,3.64,7.44,0.87,5.26
NM_001164355,2810433K01Rik,1.14,1.14,0.78,1.95,0.86,2.24,6.49,1.05,7.19,1.00,0.68,1.71,0.76,1.96,5.70,0.92,6.31
NM_029499,Ms4a4c,10.76,19.66,50.00,22.23,131.12,21.02,57.94,12.52,75.00,1.83,4.65,2.07,12.18,1.95,5.38,1.16,6.97
NM_021718,Ms4a4b,38.05,66.43,130.29,79.57,292.55,78.16,123.84,59.51,177.21,1.75,3.42,2.09,7.69,2.05,3.25,1.56,4.66
NM_138745,Mthfd1,13.47,7.68,14.62,8.23,14.78,20.04,52.78,8.85,48.63,0.57,1.09,0.61,1.10,1.49,3.92,0.66,3.61
NM_021394,Zbp1,32.80,28.95,203.27,45.11,367.33,71.85,160.54,24.00,176.56,0.88,6.20,1.38,11.20,2.19,4.89,0.73,5.38
NM_198299,E130303B06Rik,7.44,6.37,4.38,5.72,4.14,8.75,33.89,3.82,33.95,0.86,0.59,0.77,0.56,1.18,4.55,0.51,4.56
NM_145409,Chtf18,2.11,2.91,2.01,3.20,2.14,4.49,15.39,2.03,14.59,1.38,0.96,1.52,1.02,2.13,7.30,0.96,6.92
NM_001164477,Ifih1,2.09,4.02,14.21,3.73,36.39,2.35,3.34,1.72,4.14,1.92,6.78,1.78,17.37,1.12,1.60,0.82,1.98
NM_176807,Folr4,3.86,3.01,7.77,4.02,8.69,5.00,6.13,2.37,6.28,0.78,2.01,1.04,2.25,1.29,1.59,0.61,1.63
NM_025658,Ms4a4d,0.72,1.75,3.27,1.76,7.21,1.49,3.40,1.00,3.77,2.42,4.54,2.44,10.02,2.07,4.72,1.39,5.23
NM_145393,Ythdf2,25.09,8.87,10.43,19.92,11.41,14.48,19.31,6.06,15.83,0.35,0.42,0.79,0.45,0.58,0.77,0.24,0.63
NM_025495,Cenpp,1.57,0.86,2.49,3.78,1.64,5.90,10.20,1.65,12.90,0.55,1.59,2.41,1.05,3.75,6.50,1.05,8.21
NM_008328,Ifi203,7.22,7.35,23.95,6.29,62.11,5.89,9.90,5.72,10.32,1.02,3.32,0.87,8.61,0.82,1.37,0.79,1.43
NM_001013365,Osm,10.86,6.56,211.02,14.10,192.65,15.83,106.50,6.64,90.46,0.60,19.43,1.30,17.73,1.46,9.80,0.61,8.33
NM_025992,Herc5,2.70,3.55,21.19,4.42,52.02,4.32,10.19,3.66,13.75,1.32,7.86,1.64,19.28,1.60,3.78,1.36,5.10
NM_011728,Xpa,12.71,14.94,10.48,5.81,4.74,9.40,7.20,18.13,7.16,1.18,0.83,0.46,0.37,0.74,0.57,1.43,0.56
NM_026640,Fam111a,2.49,2.50,4.44,1.95,10.53,2.48,10.63,2.06,10.29,1.00,1.78,0.78,4.23,1.00,4.27,0.83,4.13
NM_001145801,Ctla2b,2.89,5.79,2.38,4.19,5.58,1.80,3.98,3.85,4.80,2.01,0.82,1.45,1.93,0.62,1.38,1.33,1.66
NM_011611,Cd40,6.05,11.01,26.73,10.55,38.11,7.63,12.46,2.92,9.58,1.82,4.42,1.74,6.30,1.26,2.06,0.48,1.58
NM_011612,Tnfrsf9,4.98,5.92,26.63,5.97,43.08,12.74,51.87,3.43,48.20,1.19,5.35,1.20,8.65,2.56,10.41,0.69,9.68
NM_011613,Tnfsf11,1.39,2.19,1.89,0.95,1.41,1.98,9.38,0.71,9.25,1.58,1.36,0.68,1.01,1.42,6.75,0.51,6.66
NM_001163741,1110021J02Rik,2.85,3.58,3.53,3.33,7.80,3.56,3.68,3.56,3.89,1.26,1.24,1.17,2.74,1.25,1.29,1.25,1.37
NM_013754,Insl6,15.52,5.05,30.65,9.04,23.61,23.41,18.59,9.38,16.10,0.33,1.98,0.58,1.52,1.51,1.20,0.60,1.04
NM_019963,Stat2,12.79,18.51,83.04,19.55,115.40,18.05,20.63,8.79,28.39,1.45,6.49,1.53,9.03,1.41,1.61,0.69,2.22
NM_029839,Trub1,1.63,3.12,3.36,1.16,2.80,3.15,7.50,4.51,6.77,1.91,2.06,0.71,1.71,1.93,4.59,2.76,4.15
NM_010130,Emr1,14.82,3.37,3.84,3.22,1.89,10.16,2.04,10.19,1.57,0.23,0.26,0.22,0.13,0.69,0.14,0.69,0.11
NM_001163360,Fignl1,1.27,2.13,1.93,0.65,2.08,4.15,24.24,1.23,19.49,1.67,1.51,0.51,1.63,3.25,19.02,0.96,15.29
NM_027733,5133400G04Rik,5.61,5.95,6.14,12.25,8.34,9.02,22.51,5.05,20.03,1.06,1.10,2.19,1.49,1.61,4.01,0.90,3.57
NM_026069,Rpl37,1521.85,1018.80,1363.59,2079.59,1376.45,1585.59,392.25,1304.31,1141.69,0.67,0.90,1.37,0.90,1.04,0.26,0.86,0.75
NM_009663,Alox5ap,36.70,9.62,4.08,4.69,4.25,9.16,2.21,7.14,2.63,0.26,0.11,0.13,0.12,0.25,0.06,0.19,0.07
NM_183161,Slc17a9,44.01,32.85,41.05,44.30,20.47,37.43,31.67,46.15,34.30,0.75,0.93,1.01,0.47,0.85,0.72,1.05,0.78
NM_016871,Tomm40,73.14,36.83,30.89,17.26,25.67,41.83,205.97,38.23,156.86,0.50,0.42,0.24,0.35,0.57,2.82,0.52,2.14
NM_177640,D030056L22Rik,42.29,32.85,13.96,9.19,12.16,13.83,44.87,13.51,36.31,0.78,0.33,0.22,0.29,0.33,1.06,0.32,0.86
NM_025866,Cdca7,7.10,4.32,7.77,4.71,8.69,13.96,61.15,4.64,61.32,0.61,1.09,0.66,1.22,1.97,8.62,0.65,8.64
NM_025465,1810029B16Rik,7.29,8.58,10.76,9.57,12.24,11.58,24.67,5.29,21.10,1.18,1.48,1.31,1.68,1.59,3.38,0.73,2.90
NM_001146057,Acot7,35.68,14.42,41.39,19.71,36.58,47.18,301.45,20.87,287.38,0.40,1.16,0.55,1.03,1.32,8.45,0.58,8.05
NM_011733,Csda,9.67,14.36,19.07,16.49,18.61,12.47,34.87,5.87,29.96,1.48,1.97,1.71,1.92,1.29,3.61,0.61,3.10
NM_026282,Spc24,3.23,2.10,1.08,1.56,1.04,5.53,31.42,2.59,27.92,0.65,0.33,0.48,0.32,1.71,9.73,0.80,8.65
NM_029000,Gvin1,1.59,1.65,6.54,1.87,9.84,5.34,4.10,1.39,4.62,1.04,4.11,1.18,6.19,3.36,2.58,0.87,2.90
NM_009689,Birc5,4.87,6.45,4.54,4.18,4.69,24.82,86.14,4.71,99.06,1.33,0.93,0.86,0.96,5.10,17.70,0.97,20.36
NM_029005,Mlkl,0.75,1.04,5.79,0.70,15.22,1.72,7.18,0.92,7.63,1.38,7.70,0.93,20.23,2.28,9.53,1.22,10.14
NM_028287,Zufsp,4.98,11.08,30.41,4.61,47.62,6.20,6.27,4.60,5.50,2.23,6.11,0.93,9.57,1.25,1.26,0.92,1.11
NM_030060,Batf3,11.82,2.25,2.50,3.52,2.60,5.97,15.87,6.30,7.12,0.19,0.21,0.30,0.22,0.51,1.34,0.53,0.60
NM_181316,Bbs9,3.34,3.11,1.60,3.19,3.61,5.69,1.49,6.29,2.78,0.93,0.48,0.95,1.08,1.70,0.44,1.88,0.83
NM_010821,Mpeg1,5.70,4.22,3.36,3.62,7.76,4.04,1.76,3.06,1.58,0.74,0.59,0.63,1.36,0.71,0.31,0.54,0.28
NM_145441,Ubxn2a,5.51,7.41,6.05,5.21,6.57,6.37,8.59,2.85,7.76,1.35,1.10,0.95,1.19,1.16,1.56,0.52,1.41
NM_001139519,Zbp1,65.67,64.29,456.62,103.23,722.48,146.65,388.77,48.41,420.90,0.98,6.95,1.57,11.00,2.23,5.92,0.74,6.41
NM_001139516,Rbl1,6.65,6.28,12.25,6.26,12.27,7.03,10.66,3.43,10.59,0.94,1.84,0.94,1.85,1.06,1.60,0.52,1.59
NM_011992,Rcn2,62.20,31.99,31.77,15.38,23.25,28.53,41.76,30.76,35.11,0.51,0.51,0.25,0.37,0.46,0.67,0.49,0.56
NM_008822,Pex7,24.76,18.13,23.11,7.96,14.02,12.67,22.49,15.73,24.35,0.73,0.93,0.32,0.57,0.51,0.91,0.64,0.98
NM_009841,Cd14,6.06,5.06,5.25,9.01,2.29,7.29,3.23,6.10,1.21,0.83,0.87,1.49,0.38,1.20,0.53,1.01,0.20
NM_001037918,Lipt1,3.78,8.94,4.59,5.15,10.23,6.23,4.50,5.52,3.61,2.36,1.21,1.36,2.71,1.65,1.19,1.46,0.95
NM_139198,Plac8,44.26,40.83,80.47,41.74,183.08,78.11,157.75,54.35,182.71,0.92,1.82,0.94,4.14,1.76,3.56,1.23,4.13
NM_009403,Tnfsf8,2.49,2.90,7.52,9.33,10.02,2.89,4.00,2.72,4.93,1.16,3.02,3.75,4.02,1.16,1.61,1.09,1.98
NM_011520,Sdc3,35.83,7.93,17.60,8.97,37.58,9.21,7.98,11.40,10.10,0.22,0.49,0.25,1.05,0.26,0.22,0.32,0.28
NM_001161712,Gcat,5.28,2.42,1.96,3.26,0.84,8.87,22.21,5.28,23.48,0.46,0.37,0.62,0.16,1.68,4.20,1.00,4.44
NM_023372,Rpl38,402.23,172.25,197.02,569.85,259.52,393.41,63.67,409.90,200.85,0.43,0.49,1.42,0.65,0.98,0.16,1.02,0.50
NM_010708,Lgals9,72.46,63.27,207.15,65.71,450.75,79.80,93.31,88.94,110.21,0.87,2.86,0.91,6.22,1.10,1.29,1.23,1.52
NM_027411,Ccdc99,1.73,3.86,3.48,2.24,3.68,3.77,11.11,1.60,8.46,2.23,2.01,1.29,2.12,2.18,6.42,0.92,4.89
NM_013632,Pnp1,6.94,10.59,19.26,12.54,40.78,15.65,24.72,12.48,29.38,1.53,2.78,1.81,5.88,2.26,3.56,1.80,4.23
NM_018739,rp9,197.04,158.77,74.86,68.02,51.12,175.19,151.25,196.68,137.42,0.81,0.38,0.35,0.26,0.89,0.77,1.00,0.70
