Supplementary Table 2. Genes more potently regulated by IL-15,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
gene_name,symbol,RPKM,,,,,,,,,Fold Change,,,,,,,
,,,4 hour,,,,24 hour,,,,4 hour,,,,24 hour,,,
,,Cont,IL2_1nM,IL2_500nM,IL15_1nM,IL15_500nM,IL2_1nM,IL2_500nM,IL15_1nM,IL15_500nM,IL2_1nM,IL2_500nM,IL15_1nM,IL15_500nM,IL2_1nM,IL2_500nM,IL15_1nM,IL15_500nM
NM_008059,G0s2,11.33,2.27,2.79,8.22,0.70,10.19,4.76,12.30,3.12,0.20,0.25,0.73,0.06,0.90,0.42,1.09,0.28
NM_029509,5830443L24Rik,19.46,14.10,65.29,15.63,105.87,46.03,32.15,15.92,41.23,0.72,3.35,0.80,5.44,2.37,1.65,0.82,2.12
NM_009437,Tst,1.85,7.40,1.53,6.10,3.12,4.76,4.73,3.56,6.13,4.00,0.83,3.30,1.69,2.58,2.56,1.93,3.32
NM_001008497,P2ry14,2.17,1.60,4.57,2.10,15.88,2.45,5.05,1.64,4.83,0.74,2.11,0.97,7.31,1.13,2.33,0.75,2.22
NM_028109,Tpx2,2.10,2.97,3.07,0.94,4.40,5.07,20.95,1.78,22.31,1.42,1.46,0.45,2.10,2.42,9.98,0.85,10.63
NM_172603,Phf11,7.53,5.67,22.47,7.52,58.22,8.11,12.56,4.83,14.42,0.75,2.98,1.00,7.73,1.08,1.67,0.64,1.91
NM_183275,1110002N22Rik,1.86,5.10,3.07,6.65,8.10,5.72,7.72,5.64,9.03,2.75,1.65,3.58,4.36,3.08,4.16,3.04,4.86
NM_007778,Csf1,0.83,1.46,7.87,1.30,11.51,1.16,0.72,0.90,1.62,1.75,9.43,1.56,13.80,1.39,0.86,1.08,1.94
NR_027852,Cd40,5.75,10.45,25.29,10.00,36.14,7.23,11.83,2.78,9.09,1.82,4.40,1.74,6.29,1.26,2.06,0.48,1.58
NR_027851,2900005J15Rik,8.36,2.03,3.44,2.00,1.34,2.63,1.65,2.58,2.16,0.24,0.41,0.24,0.16,0.31,0.20,0.31,0.26
NM_178605,Nop16,10.74,11.19,20.89,16.55,19.59,16.83,47.66,7.33,46.55,1.04,1.95,1.54,1.82,1.57,4.44,0.68,4.33
NM_001163470,Trafd1,22.99,26.10,114.58,35.46,237.07,33.05,53.31,23.90,68.43,1.14,4.98,1.54,10.31,1.44,2.32,1.04,2.98
NM_001004140,Ckap2,1.74,0.95,2.74,2.15,2.69,5.00,14.18,1.11,14.67,0.55,1.58,1.24,1.55,2.88,8.17,0.64,8.45
NM_013737,Pla2g7,13.99,4.46,6.73,3.82,3.27,10.06,2.47,16.66,1.62,0.32,0.48,0.27,0.23,0.72,0.18,1.19,0.12
NM_001162493,Mpst,6.08,4.26,2.80,9.27,2.02,8.46,5.12,6.18,4.77,0.70,0.46,1.52,0.33,1.39,0.84,1.02,0.78
NM_001162492,Mpst,5.95,4.17,2.75,9.07,1.98,8.28,5.01,6.05,4.67,0.70,0.46,1.52,0.33,1.39,0.84,1.02,0.79
NM_027954,Syce2,5.97,7.69,4.69,8.83,6.61,11.47,40.24,4.04,44.10,1.29,0.79,1.48,1.11,1.92,6.75,0.68,7.39
NM_178114,Amigo2,6.51,4.98,3.53,4.42,7.31,3.06,2.15,2.81,2.24,0.76,0.54,0.68,1.12,0.47,0.33,0.43,0.34
NM_027009,Rfc3,6.16,10.29,26.27,12.65,52.68,15.64,50.77,8.24,52.85,1.67,4.26,2.05,8.55,2.54,8.24,1.34,8.58
NM_026578,Gar1,6.91,4.39,9.06,8.87,10.96,10.40,17.86,7.78,22.13,0.64,1.31,1.28,1.59,1.51,2.59,1.13,3.20
NM_016904,Cks1b,15.86,11.99,10.62,12.67,11.80,26.93,102.99,8.60,93.57,0.76,0.67,0.80,0.74,1.70,6.49,0.54,5.90
NM_001159393,Irf1,107.09,87.37,390.55,94.44,375.51,157.43,172.87,73.30,178.75,0.82,3.65,0.88,3.51,1.47,1.61,0.68,1.67
NM_009608,Actc1,5.60,1.75,2.71,2.18,3.36,3.98,6.66,1.91,5.11,0.31,0.48,0.39,0.60,0.71,1.19,0.34,0.91
NM_008089,Gata1,1.56,0.89,6.43,0.91,7.15,2.59,4.04,0.50,4.03,0.57,4.13,0.59,4.60,1.67,2.60,0.32,2.59
NM_001164220,Trim13,4.90,13.96,6.68,9.52,5.20,3.12,8.19,8.27,8.29,2.85,1.36,1.94,1.06,0.64,1.67,1.69,1.69
NM_028244,Rrp1b,4.74,2.04,6.03,4.14,5.38,5.25,16.76,2.23,14.41,0.43,1.27,0.87,1.14,1.11,3.54,0.47,3.04
NM_026192,Calcoco1,2.81,5.11,2.08,5.01,4.19,5.90,1.08,6.65,1.25,1.82,0.74,1.79,1.49,2.10,0.39,2.37,0.45
NM_008392,Irg1,0.50,1.38,2.80,1.37,6.49,8.52,6.65,2.22,3.23,2.75,5.60,2.73,12.97,17.03,13.29,4.45,6.46
NM_016741,Scarb1,30.18,8.66,10.05,9.01,5.01,13.04,28.56,11.37,23.79,0.29,0.33,0.30,0.17,0.43,0.95,0.38,0.79
NM_133348,Acot7,36.41,14.92,42.88,20.08,37.83,48.63,312.59,21.36,296.50,0.41,1.18,0.55,1.04,1.34,8.59,0.59,8.14
NM_133851,Nusap1,1.38,1.60,2.01,0.98,2.52,2.13,5.85,0.82,8.19,1.16,1.45,0.71,1.82,1.55,4.24,0.60,5.93
NM_025530,Cutc,7.04,7.88,10.92,17.97,12.64,8.44,5.47,9.67,6.09,1.12,1.55,2.55,1.80,1.20,0.78,1.37,0.87
NM_144899,Adamtsl4,2.16,2.78,6.70,7.54,6.25,3.49,1.43,6.37,1.71,1.28,3.09,3.48,2.89,1.61,0.66,2.94,0.79
NM_178595,Ptrh1,2.00,2.69,1.49,4.63,3.96,3.07,6.70,3.15,6.22,1.35,0.74,2.31,1.98,1.54,3.35,1.57,3.11
NM_139117,Csda,8.84,13.01,17.29,15.11,17.05,11.27,31.82,5.38,27.32,1.47,1.96,1.71,1.93,1.28,3.60,0.61,3.09
