Camborne
Location 1627E 407N 87m amsl
Estimated data is marked with a * after the value.
Missing data (more than 2 days missing in month) is marked by  ---.
Sunshine data taken from an automatic Kipp & Zonen sensor marked with a #, otherwise sunshine data taken from a Campbell Stokes recorder.
   yyyy  mm   tmax    tmin      af    rain     sun
              degC    degC    days      mm   hours
   1983   9   16.8    11.8       0   115.8   111.5
   1983  10   13.9     9.0       0    84.6   105.3
   1983  11   11.4     7.4       3    62.1    47.6
   1983  12   10.4     6.2       0   145.0    64.6
   1984   1    8.9     3.5       2   208.7    51.9
   1984   2    8.1     3.7       2    57.9    68.9
   1984   3    8.3     3.0       3    62.7   130.2
   1984   4   12.7     6.1       1     4.6   257.2
   1984   5   12.6     7.1       0    76.5   204.0
   1984   6   16.4    10.4       0     6.6   211.9
   1984   7   19.9    12.5       0    54.4   279.7
   1984   8   20.3    13.7       0    46.7   213.6
   1984   9   16.9    12.0       0   117.6   158.5
   1984  10   14.3     9.7       0   109.1   101.3
   1984  11   11.5     6.7       0   189.8    63.7
   1984  12   10.0     5.3       0   112.0    72.2
   1985   1    6.1     0.8      15   128.5    81.3
   1985   2    7.9     4.2       4    57.0    74.8
   1985   3    9.0     3.9       2   112.5   133.1
   1985   4   11.7     6.2       0    94.5   180.7
   1985   5   13.6     8.2       0    52.5   211.0
   1985   6   15.4    10.3       0    74.4   191.5
   1985   7   18.3    12.3       0    45.3   187.5
   1985   8   16.8    11.9       0   142.8   149.8
   1985   9   17.4    11.8       0    51.0   147.4
   1985  10   14.3     9.5       0    53.8   110.8
   1985  11    9.3     4.0       4    85.5    80.7
   1985  12   10.4     6.4       3   174.2    48.2
   1986   1    8.7     4.9       1   150.4    49.6
   1986   2    3.1    -0.8      19    48.3    50.5
   1986   3    9.4     4.1       3   106.3   120.3
   1986   4    8.7     3.3       0    62.3   189.6
   1986   5   12.7     7.7       0    84.2   210.1
   1986   6   16.3    10.2       0    87.4   195.7
   1986   7   17.6    12.3       0    57.5   147.4
   1986   8   15.8    11.0       0   110.3   140.1
   1986   9   14.9     8.4       0    25.1   167.3
   1986  10   14.4     9.6       0   107.6   100.6
   1986  11   11.6     6.5       0   175.0    82.9
   1986  12   10.4     6.0       0   189.8    53.0
