Parent Department,Organisation,Unit,Reporting Senior Post,Grade,Payscale Minimum (£),Payscale Maximum (£),Generic Job Title,Number of Posts in FTE,Profession
Department for Business Innovation and Skills,Higher Education Funding Council for England,Education and Participation,90284,11,61598,70838,Head of Policy,3,Policy
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,11,61598,70838,Head of Policy,1,Policy
Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,10,50936,58577,Head of Policy,1,Policy
Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,11,61598,70838,Head of Policy,2,Policy
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,8,31984,36781,HR Manager,0.61,Human Resources
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9,41461,47681,HR Manager,1.76,Human Resources
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9,41461,47681,Internal Auditor,2.41,Internal Audit
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9,41461,47681,IT Manager,3.81,Information Technology
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,6,22507,25884,IT Support Officer,1,Information Technology
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,7,26062,29971,IT Support Officer,2,Information Technology
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,8,31984,36781,IT Support Officer,6.81,Information Technology
Department for Business Innovation and Skills,Higher Education Funding Council for England,Education and Participation,90284,8,31984,36781,JISC Committee Secretary,3.81,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,Education and Participation,90284,6,22507,25884,JISC Committee Support Officer,2.41,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,6,22507,25884,JISC Committee Support Officer,1,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,5,19546,22478,Knowledge Information Management Support,1,Knowledge and Information Management (KIM)
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,6,22507,25884,Knowledge Information Management Support,1,Knowledge and Information Management (KIM)
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,7,26062,29971,Knowledge Information Management Support,1,Knowledge and Information Management (KIM)
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,8,31984,36781,Knowledge Information Manager,1,Knowledge and Information Management (KIM)
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9,41461,47681,Knowledge Information Manager,1,Knowledge and Information Management (KIM)
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,2,13625,15668,Office Assistant/Receptionist,4.95,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,3,15399,17708,Office Assistant/Receptionist,2,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,6,22507,25884,Office Manager,1,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9,41461,47681,Other Senior Adviser,3,Policy
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,10,50936,58577,Other Senior Adviser,1,Policy
Department for Business Innovation and Skills,Higher Education Funding Council for England,Education and Participation,90284,6,22507,25884,Personal Assistant,2,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,6,22507,25884,Personal Assistant,5,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,6,22507,25884,Personal Assistant,1,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,Education and Participation,90284,11,61598,70838,Regional/Project Consultant,2,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,11,61598,70838,Regional/Project Consultant,3,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,11,61598,70838,Regional/Project Consultant,1.86,Operational Delivery
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9,41461,47681,Senior Analyst,4.81,Statisticians
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,10,50936,58577,Senior Finance Manager,2.8,Finance
Department for Business Innovation and Skills,Higher Education Funding Council for England,Education and Participation,90284,9,41461,47681,Senior HE Policy Adviser,4.73,Policy
Department for Business Innovation and Skills,Higher Education Funding Council for England,Finance and Corporate Resources,90115,9,41461,47681,Senior HE Policy Adviser,7.77,Policy
Department for Business Innovation and Skills,Higher Education Funding Council for England,"Research, Innovation and Skills",90250,9,41461,47681,Senior HE Policy Adviser,5.56,Policy
